#,name,size,memory_type,price,producer,clock,timings,sticks,image_url,gaming,graphic design,programming,office
92,Corsair Vengeance RGB Pro Series white,64,DDR4,159.99,Corsair,3600,18-19-19-39,8,https://cdna.pcpartpicker.com/static/forever/images/product/44511eed6b609f1979ca94fe5ed2e2ad.256p.jpg,TRUE,TRUE,FALSE,FALSE
93,Corsair Vengeance RGB Pro Series white,32,DDR4,104.99,Corsair,3200,16-16-16-36,2,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,TRUE,FALSE,FALSE
94,Corsair Vengeance RGB Pro Series white,32,DDR4,104.99,Corsair,2666,16-18-18-35,2,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,FALSE,TRUE,FALSE
95,Corsair Vengeance RGB Pro SL,32,DDR4,84.99,Corsair,3200,16-20-20-38,4,https://cdna.pcpartpicker.com/static/forever/images/product/64079d85add71559122ffbd000911056.1600.jpg,TRUE,TRUE,FALSE,FALSE
96,Corsair Vengeance RGB Pro SL,32,DDR4,84.99,Corsair,3200,16-20-20-38,2,https://cdna.pcpartpicker.com/static/forever/images/product/64079d85add71559122ffbd000911056.1600.jpg,TRUE,TRUE,FALSE,FALSE
97,Corsair Vengeance RGB Pro SL,32,DDR4,84.99,Corsair,3600,18-22-22-42,2,https://cdna.pcpartpicker.com/static/forever/images/product/64079d85add71559122ffbd000911056.1600.jpg,TRUE,TRUE,FALSE,FALSE
98,Corsair Vengeance RGB Pro SL,32,DDR4,84.99,Corsair,3600,18-22-22-42,2,https://cdna.pcpartpicker.com/static/forever/images/product/64079d85add71559122ffbd000911056.1600.jpg,TRUE,TRUE,FALSE,FALSE
99,Corsair Vengeance RGB Pro SL,16,DDR4,54.99,Corsair,3600,18-22-22-42,2,https://m.media-amazon.com/images/I/41g+w77udlS.jpg,TRUE,FALSE,TRUE,FALSE
100,Corsair Vengeance RGB Pro SL,16,DDR4,54.99,Corsair,3200,16-20-20-38,2,https://m.media-amazon.com/images/I/41g+w77udlS.jpg,TRUE,FALSE,TRUE,FALSE
101,Corsair Vengeance RGB Pro SL,16,DDR4,54.99,Corsair,3200,"15-15-15-36, 16-20-20-38",2,https://m.media-amazon.com/images/I/41g+w77udlS.jpg,TRUE,FALSE,TRUE,FALSE
102,Corsair Vengeance RGB Pro SL DDR4-3200,32,DDR4,104.99,Corsair,3200,16-20-20-38,4,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,TRUE,FALSE,FALSE
103,Corsair Vengeance RGB RS,64,DDR4,154.99,Corsair,3600,18-22-22-42,2,https://cdna.pcpartpicker.com/static/forever/images/product/1f627399671ad03740af8adeebf5d2da.256p.jpg,TRUE,TRUE,FALSE,FALSE
104,Corsair Vengeance RGB RS,32,DDR4,79.98,Corsair,3600,18-22-22-42,2,https://cdna.pcpartpicker.com/static/forever/images/product/b6d111351e56f32cd776e4cf8ce17e39.1600.jpg,TRUE,TRUE,FALSE,FALSE
105,Corsair Vengeance RGB RS,32,DDR4,79.98,Corsair,3200,16-20-20-38,2,https://cdna.pcpartpicker.com/static/forever/images/product/b6d111351e56f32cd776e4cf8ce17e39.1600.jpg,TRUE,TRUE,FALSE,FALSE
106,Corsair Vengeance RGB RT,64,DDR4,154.99,Corsair,3200,16-20-20-38,4,https://m.media-amazon.com/images/I/41OL46qmV6L.jpg,TRUE,TRUE,FALSE,FALSE
107,Corsair Vengeance RGB RT,64,DDR4,154.99,Corsair,3600,18-22-22-42,4,https://m.media-amazon.com/images/I/41OL46qmV6L.jpg,TRUE,TRUE,FALSE,FALSE
108,Corsair Vengeance RGB RT,32,DDR4,99.99,Corsair,4600,18-22-22-42,2,https://cdna.pcpartpicker.com/static/forever/images/product/18d515b5e9b6de9484ac9eb7901c119c.1600.jpg,TRUE,TRUE,FALSE,FALSE
109,Corsair Vengeance RGB RT,64,DDR4,154.99,Corsair,3200,16-20-20-38,2,https://m.media-amazon.com/images/I/41OL46qmV6L.jpg,TRUE,TRUE,FALSE,FALSE
110,Corsair Vengeance RGB RT,32,DDR4,99.99,Corsair,3600,18-22-22-42,4,https://cdna.pcpartpicker.com/static/forever/images/product/18d515b5e9b6de9484ac9eb7901c119c.1600.jpg,TRUE,TRUE,FALSE,FALSE
111,Corsair Vengeance RGB RT,32,DDR4,99.99,Corsair,3200,16-20-20-38,2,https://cdna.pcpartpicker.com/static/forever/images/product/18d515b5e9b6de9484ac9eb7901c119c.1600.jpg,TRUE,TRUE,FALSE,FALSE
112,Corsair Vengeance RGB RT,16,DDR4,67.98,Corsair,3200,16-20-20-38,2,https://m.media-amazon.com/images/I/41RQ3OmQrWL.jpg,TRUE,FALSE,TRUE,FALSE
113,Crucial Ballistix Elite series,32,DDR4,88.98,Crucial,3600,16-18-18,4,https://cdna.pcpartpicker.com/static/forever/images/product/c62f5aa1d2d902523596f383c7946a7b.1600.jpg,TRUE,TRUE,FALSE,FALSE
114,Crucial Ballistix Sport AT,16,DDR4,134.32,Crucial,2666,16-18-18,1,https://m.media-amazon.com/images/I/41mKTopIuML.jpg,TRUE,FALSE,TRUE,FALSE
115,Crucial Ballistix Sport LT grey DDR4-2666 CL16,16,DDR4,45.99,Ballistix,2666,,1,https://images-na.ssl-images-amazon.com/images/I/41%2B2%2B5suuAL.jpg,TRUE,FALSE,TRUE,FALSE
116,Crucial Ballistix Sport LT Series grey DDR4-2400,8,DDR4,19.98,Crucial,2400,16-16-16,1,https://cdna.pcpartpicker.com/static/forever/images/product/aae9b49cc423c0b0bf7053e10832a964.1600.jpg,TRUE,FALSE,TRUE,TRUE
117,Crucial Ballistix Sport LT series red,16,DDR4,134.32,Crucial,3200,16-18-18,2,https://cdna.pcpartpicker.com/static/forever/images/product/0e1710473f2e5c1c968385a02c96171b.256p.jpg,TRUE,FALSE,TRUE,FALSE
118,Crucial Ballistix Sport LT Series red,16,DDR4,134.32,Crucial,2400,16-16-16,1,https://cdna.pcpartpicker.com/static/forever/images/product/0e1710473f2e5c1c968385a02c96171b.256p.jpg,FALSE,FALSE,TRUE,FALSE
