#,name,from_factor,socket,memory_type,memory_max_capacity,price,chipset,producer,ram_slots,m.2 pci-e 3.0,m.2 pci-e 4.0,usb 3 slots,usb 3 headers,usb 3 type-c,vga,dvi,display port,hdmi,pci-e 3.0,pci-e 4.0,external_image
60,Asus A68HM-PLU,ATX,FM2+,DDR3,32.0,61.01,A68H FCH (Bolton D2H),Asus,2,,0.0,2.0,1.0,,1.0,1.0,,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/6b616f0847a67568d3a2bb6716f4547d.256p.jpg
61,Asus EX-B250-V,ATX,1151,DDR4,64.0,98.65,B250,Asus,4,,0.0,4.0,1.0,,,,,1.0,0,0,https://www.asus.com/media/global/gallery/w7fINSM7SZmOwYJF_setting_xxx_0_90_end_2000.png
62,Asus H110M-A,ATX,1151,DDR4,32.0,77.99,H110,Asus,2,,0.0,2.0,1.0,,1.0,1.0,,,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/71fdafdc764e65c147d537c0a0879451.256p.jpg
63,Asus H110M-K,Micro-ATX,1151,DDR4,32.0,69.49,H110,ASUS,2,,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/71fdafdc764e65c147d537c0a0879451.256p.jpg
64,ASUS M5A78L-M LX3 GL/SATA300/CF/VGA 760,ATX,AM3+,DDR3,32.0,68.51,760G,Asus,2,,0.0,,,,,,,,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/dbea9f0869ed225cc821021f828686af.256p.jpg
65,ASUS M5A78L-M PLUS/USB,ATX,AM3+,DDR3,32.0,35.99,760G,ASUS,4,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0,0,https://m.media-amazon.com/images/I/61myntEMJSL.jpg
66,Asus MAXIMUS VIII IMPAC,Mini-ITX,1151,DDR4,32.0,233.99,Z170,Asus,2,,0.0,4.0,1.0,,,,,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/ec7b1e77bc3475629ed801705a095683.256p.jpg
67,ASUS PRIME B250M-A,Micro-ATX,1151,DDR4,64.0,75,B250,ASUS,4,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3,0,https://cdna.pcpartpicker.com/static/forever/images/product/6e76819a78e944edd5487451219d1f7d.256p.jpg
68,ASUS PRIME B360M-M,Micro-ATX,1151,DDR4,32.0,81.39,B360,ASUS,2,1.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,2,0,https://cdna.pcpartpicker.com/static/forever/images/product/9b3ca7e00f3482f627f6a30446983a73.256p.jpg
69,ASUS PRIME B360M-A Plus,Micro-ATX,1151,DDR4,64.0,77.99,B360,ASUS,4,2.0,0.0,,2.0,1.0,0.0,0.0,0.0,1.0,2,0,https://cdna.pcpartpicker.com/static/forever/images/product/9b3ca7e00f3482f627f6a30446983a73.256p.jpg
70,ASUS PRIME H310M,Micro-ATX,1151,DDR4,32.0,72.99,H310,ASUS,2,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/76bb8c8dce1eb23094986ef859fdbc3d.256p.jpg
71,Asus PRIME X299,ATX,2066,DDR4,128.0,289.99,X299,Asus,8,2.0,0.0,4.0,2.0,,,,,,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/6087cb093f1f38b2d8a264815a3b6d24.256p.jpg
72,ASUS PRIME X470-Pro,ATX,AM4,DDR4,64.0,118.99,X470,ASUS,4,1.0,0.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,3,0,https://cdna.pcpartpicker.com/static/forever/images/product/f53a232186a58d1d9f0e2d678c8cee6c.256p.jpg
73,Asus PRIME Z270-K,ATX,1151,DDR4,64.0,155.99,Z270,Asus,4,2.0,0.0,2.0,2.0,1.0,1.0,1.0,,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/49e1f3750f0a0bf64a4d6d60d9eb0e06.256p.jpg
74,Asus PRIME Z270-A,ATX,1151,DDR4,64.0,159,Z270,Asus,4,2.0,0.0,4.0,1.0,,,,,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/49e1f3750f0a0bf64a4d6d60d9eb0e06.256p.jpg
75,Asus PRIME Z370-P,ATX,1151,DDR4,64.0,42.99,Z370,Asus,4,2.0,0.0,2.0,2.0,,,1.0,1.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/9a240bb5d6455883bbf45e134a11faae.256p.jpg
76,Asus PRIME Z370-AR,ATX,1151,DDR4,64.0,79.99,Z370,Asus,4,2.0,0.0,4.0,2.0,,,1.0,,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/9a240bb5d6455883bbf45e134a11faae.256p.jpg
77,ASUS ProArt Z690-CREATOR WIF,ATX,1700,DDR5,128.0,413.99,Z690,ASUS,4,,1.0,,,,0.0,0.0,2.0,1.0,1,0,https://m.media-amazon.com/images/I/51AEhpTZ0lL.jpg
