#,name,pci-e,series,vram,cores,memory_clock,boost_clock,price,producer,length,slots,8-pin connectors,6-pin connectors,hdmi,display port,dvi,vga,sync,tdp,image_url,gaming,graphic design,programming,office
57,EVGA GTX 660 Superclocked,3.0,GeForce GTX 660,2,960,6008,1110,244.99,EVGA,241.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,G-Sync,140,https://m.media-amazon.com/images/I/41zMsYinRXL.jpg,FALSE,FALSE,TRUE,TRUE
58,EVGA RTX 3070 FTW3 Ultra,4.0,GeForce RTX 3070,8,5888,14000,1815,679.99,EVGA,300.0,2.75,2.0,0.0,1.0,3.0,0.0,0.0,G-Sync,220,https://cdna.pcpartpicker.com/static/forever/images/product/a6cfb4e58daecb7b49fb19b0f5268a56.256p.jpg,TRUE,TRUE,FALSE,FALSE
59,EVGA RTX 3070 XC3 Black Gaming,4.0,GeForce RTX 3070,8,5888,14000,1725,599.99,EVGA,286.0,2.5,2.0,0.0,1.0,3.0,0.0,0.0,G-Sync,220,https://cdna.pcpartpicker.com/static/forever/images/product/33170ff11eeeab85d12fa6ca55d002ad.256p.jpg,TRUE,TRUE,FALSE,FALSE
60,Gigabyte Aorus GeForce GTX 1660 Ti 6G,3.0,GeForce GTX 1660 Ti (6GB),6,1890,12000,1890,309.99,Gigabyte,280.0,,1.0,0.0,1.0,1.0,0.0,0.0,G-Sync,120,https://www.cobrashop.ps/wp-content/uploads/2020/06/1660-ti-05.png,TRUE,FALSE,FALSE,FALSE
61,Gigabyte Aorus GeForce RTX 2070 Super,3.0,GeForce RTX 2070 Super,8,2560,14000,1905,465.99,Gigabyte,290.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,,260,https://static.gigabyte.com/StaticFile/Image/Global/267b033560e9643c6be31d8e71d4e995/Product/22297,TRUE,TRUE,FALSE,FALSE
62,Gigabyte Aorus GeForce RTX 2070 Super Gaming OC,3.0,GeForce RTX 2070 Super,8,2560,14000,1815,446.99,Gigabyte,286.5,2.5,1.0,1.0,1.0,1.0,0.0,0.0,,260,https://static.gigabyte.com/StaticFile/Image/Global/908f3375d020524420450d9d2fa9b2b3/Product/22258/png/1000,TRUE,TRUE,FALSE,FALSE
63,Gigabyte Aorus GeForce RTX 3070 Master 8G LHR,4.0,GeForce RTX 3070,8,5888,14000,1845,619.99,Gigabyte,290.0,3.0,2.0,0.0,3.0,3.0,0.0,0.0,,220,https://www.gigabyte.com/FileUpload/Global/KeyFeature/1899/innergigabyteimages/kf-img.png,TRUE,TRUE,FALSE,FALSE
64,GIGABYTE Aorus GeForce RTX 4060 Ti Elite,4.0,GeForce RTX 4060 Ti (8GB),8,4352,18000,2655,429.99,Gigabyte,301.0,2.75,1.0,0.0,2.0,2.0,0.0,0.0,G-Sync,160,https://www.gigabyte.com/FileUpload/Global/KeyFeature/2414/innergigabyteimages/kf-card.png,TRUE,TRUE,FALSE,FALSE
65,GIGABYTE Aorus GeForce RTX 4070 Ti Master,4.0,GeForce RTX 4070 Ti,12,7680,21000,2670,939.99,Gigabyte,342.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,G-Sync,285,https://www.gigabyte.com/FileUpload/Global/KeyFeature/2304/innergigabyteimages/kf-card.png,TRUE,TRUE,FALSE,FALSE
66,Gigabyte Aorus Radeon RX 6800 Master,4.0,Radeon RX 6800,16,3840,16000,2190,1124.99,Gigabyte,300.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,,250,https://www.gigabyte.com/FileUpload/Global/KeyFeature/1695/innergigabyteimages/rgb/cover.png,TRUE,TRUE,FALSE,FALSE
