#,name,socket,price,producer,base_clock,turbo_clock,cores,threads,tdp,integrated graphics,image_url,gaming,graphic design,programming,office
66,AMD Ryzen 9 5950X,AM4,498.00,AMD,3.4,4.9,16,32,105,,https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,TRUE,TRUE,FALSE,FALSE
67,AMD Ryzen 9 7900,AM5,408.00,AMD,3.7,5.4,12,24,65,Ryzen 7000 Graphics,https://cdna.pcpartpicker.com/static/forever/images/product/119ef93ef95a60950418031082149c5b.256p.jpg,TRUE,TRUE,FALSE,FALSE
68,AMD Ryzen 9 7900X,AM5,438.99,AMD,4.7,5.6,12,24,170,Ryzen 7000 Graphics,https://cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg,TRUE,TRUE,FALSE,FALSE
69,AMD Ryzen 9 7900X3D,AM5,549.00,AMD,4.4,5.6,12,24,120,Ryzen 7000 Graphics,https://cdna.pcpartpicker.com/static/forever/images/product/98c4874ed550e2bbcc2d29d67177ddc8.256p.jpg,TRUE,TRUE,FALSE,FALSE
70,AMD Ryzen 9 7950X,AM5,583.99,AMD,4.5,5.7,16,32,170,Ryzen 7000 Graphics,https://cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg,TRUE,TRUE,FALSE,FALSE
71,AMD Ryzen 9 7950X3D,AM5,699.00,AMD,4.2,5.7,16,32,120,Ryzen 7000 Graphics,https://cdna.pcpartpicker.com/static/forever/images/product/4f8b13807b9b9e2ab921ddb6e6e81afb.256p.jpg,TRUE,TRUE,FALSE,FALSE
72,AMD Ryzen Threadripper 1900X,TR4,180.09,AMD,3.8,4.0,8,16,180,,https://cdna.pcpartpicker.com/static/forever/images/product/b68f29b453848519ea8bd70695cd027c.256p.jpg,TRUE,FALSE,FALSE,FALSE
73,AMD Ryzen Threadripper 1920X,TR4,249.90,AMD,3.5,4.0,12,24,180,,https://cdna.pcpartpicker.com/static/forever/images/product/dfb011931e97f85c79165ed9e97aec59.256p.jpg,TRUE,FALSE,FALSE,FALSE
74,AMD Ryzen Threadripper 1950X,TR4,417.13,AMD,3.4,4.0,16,32,180,,https://m.media-amazon.com/images/I/51hzN4DjiDL.jpg,TRUE,FALSE,FALSE,FALSE
75,AMD Ryzen Threadripper 2920X,TR4,386.53,AMD,3.5,4.3,12,24,180,,https://cdna.pcpartpicker.com/static/forever/images/product/e5ec30e5856001c1f713bc38ef99b588.256p.jpg,TRUE,TRUE,FALSE,FALSE
76,AMD Ryzen Threadripper 2950X,TR4,714.99,AMD,3.5,4.4,16,32,180,,https://cdna.pcpartpicker.com/static/forever/images/product/09734bbf8632da3f135375bbb4ea6f94.256p.jpg,TRUE,TRUE,FALSE,FALSE
77,AMD Ryzen Threadripper 2970WX,TR4,999.99,AMD,3.0,4.2,24,48,250,,https://cdna.pcpartpicker.com/static/forever/images/product/25622925b568c0fbb39f61b0383c39b4.256p.jpg,TRUE,TRUE,FALSE,FALSE
78,AMD Ryzen Threadripper 3960X,TRX40,1399.00,AMD,3.8,4.5,24,48,280,,https://cdna.pcpartpicker.com/static/forever/images/product/3ada9b0ee52763b884f3f76b681846ad.256p.jpg,TRUE,TRUE,FALSE,FALSE
79,AMD Ryzen Threadripper Pro 3955WX,sWRX80,1148.99,AMD,3.9,4.3,16,32,280,,https://cdna.pcpartpicker.com/static/forever/images/product/f0e0e59d75066ec825667b71c31e3c83.256p.jpg,TRUE,TRUE,FALSE,FALSE
80,Intel Celeron G1840,1150,49.99,Intel,2.8,0.0,2,2,54,,https://images-na.ssl-images-amazon.com/images/I/51FhAqx%2Bk8L.jpg,FALSE,FALSE,FALSE,TRUE
81,Intel Celeron G6900,1700,59.99,Intel,3.4,0.0,2,2,46,,https://cdna.pcpartpicker.com/static/forever/images/product/9741c4e0d5347f8b94409b0414f416db.256p.jpg,FALSE,FALSE,FALSE,TRUE
82,Intel Core i3-10100,1200,111.70,Intel,3.6,4.3,4,8,65,Intel UHD 630,https://cdna.pcpartpicker.com/static/forever/images/product/b9e5be26e6c5e8bbfccccf521c16fde2.256p.jpg,TRUE,FALSE,TRUE,FALSE
83,Intel Core i3-10100F,1200,77.99,Intel,3.6,4.3,4,8,125,,https://cdna.pcpartpicker.com/static/forever/images/product/1b6a8775e713620ebc864fb7bcc38ce5.256p.jpg,TRUE,TRUE,FALSE,FALSE
84,Intel Core i3-10105,1200,112.98,Intel,3.7,4.4,4,8,65,,https://cdna.pcpartpicker.com/static/forever/images/product/f4e07d2c312edb86a1afe494ed5cd645.256p.jpg,TRUE,FALSE,TRUE,FALSE
85,Intel Core i3-10300,1200,171.99,Intel,3.7,4.4,4,8,65,Intel UHD 630,https://m.media-amazon.com/images/I/419h1NMeqvL.jpg,TRUE,FALSE,TRUE,FALSE
86,Intel Core i3-10320,1200,172.99,Intel,3.8,4.6,4,8,65,Intel UHD 630,https://m.media-amazon.com/images/I/419h1NMeqvL.jpg,TRUE,FALSE,TRUE,FALSE
87,Intel Core i3-12100,1700,138.87,Intel,3.3,4.3,4,8,60,Intel UHD 730,https://cdna.pcpartpicker.com/static/forever/images/product/7fc9bd473f09de3bff4a5a44e832f399.256p.jpg,TRUE,TRUE,TRUE,FALSE
88,Intel Core i3-12100F,1700,106.92,Intel,3.3,4.3,4,8,60,,https://cdna.pcpartpicker.com/static/forever/images/product/c67d8f42c0e57b268f068172e9a3f571.256p.jpg,TRUE,FALSE,FALSE,FALSE
89,Intel Core i3-13100,1700,147.99,Intel,3.4,4.5,4,8,60,,https://cdna.pcpartpicker.com/static/forever/images/product/a11139b5e266b9760da436a86b407035.256p.jpg,TRUE,FALSE,FALSE,FALSE
90,Intel Core i3-13100F,1700,118.99,Intel,3.4,4.5,4,8,58,,https://cdna.pcpartpicker.com/static/forever/images/product/735d84f17256242adcfad88d56d590bf.256p.jpg,TRUE,FALSE,FALSE,FALSE
